Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
1,222,12.333333333333334,80,0.1643835616438356,5,5,4,4,3,2,3,2,2,1,1,1,2,1,1,1,1,1
2,265,12.045454545454545,74,0.11969111969111969,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
3,303,10.448275862068966,92,0.10702341137123746,7,6,5,4,4,3,3,3,2,2,2,1,2,2,1,1,1,1
4,405,13.5,133,0.10327455919395466,8,7,6,6,5,4,3,2,2,2,2,1,1,1,1,1,1,1
5,212,21.2,46,0.10328638497652583,6,5,5,3,3,3,5,2,1,1,1,1,1,1,1,1,1,1
6,333,17.526315789473685,111,0.1580547112462006,6,5,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1
7,1001,16.966101694915253,245,0.09017223910840932,14,13,11,8,8,8,3,3,2,2,2,2,2,2,2,2,2,1
8,310,14.090909090909092,89,0.1465798045602606,4,3,3,3,3,3,2,2,2,1,1,1,2,1,1,1,1,1
9,879,17.235294117647058,195,0.112,21,14,12,8,5,5,4,3,2,2,2,2,2,2,1,1,1,1
10,407,15.074074074074074,100,0.10421836228287841,7,5,5,5,4,4,2,2,2,1,1,1,1,1,1,1,1,1
11,756,16.085106382978722,190,0.096,8,8,7,6,6,5,8,2,2,2,2,2,2,2,1,1,1,1
12,610,15.25,222,0.1644295302013423,11,10,9,6,6,5,5,5,4,2,2,2,4,1,1,1,1,1
13,112,28.0,15,0.02702702702702703,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
14,302,15.1,87,0.15100671140939598,5,5,5,4,3,3,5,3,3,2,2,2,3,3,2,1,1,1
15,274,14.421052631578947,101,0.13533834586466165,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
16,560,16.96969696969697,164,0.10128913443830571,8,7,7,6,5,4,2,2,2,2,2,2,2,1,1,1,1,1
17,256,15.058823529411764,89,0.13043478260869565,7,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1
18,330,15.0,104,0.12307692307692308,8,6,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1
19,783,30.115384615384617,169,0.08801020408163265,11,10,9,9,9,8,5,2,2,2,2,2,2,2,2,1,1,1
20,397,15.26923076923077,120,0.11450381679389313,7,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
21,169,16.9,19,0.011834319526627219,5,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
22,689,18.13157894736842,174,0.08259587020648967,6,6,5,4,4,4,2,2,2,2,2,2,2,2,1,1,1,1
23,258,10.75,84,0.1450980392156863,4,4,4,4,3,3,2,2,2,2,2,1,2,1,1,1,1,1
24,476,16.413793103448278,177,0.16344086021505377,7,6,6,4,4,4,3,2,2,2,1,1,1,1,1,1,1,1
25,92,18.4,20,0.12087912087912088,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,398,18.952380952380953,85,0.07868020304568528,5,5,5,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1
27,243,12.789473684210526,71,0.10084033613445378,5,5,5,4,3,3,2,2,2,1,1,1,2,1,1,1,1,1
