Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
1,277,27.7,65,0.14545454545454545,6,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,1
2,318,22.714285714285715,65,0.10759493670886076,12,12,6,5,5,5,12,4,4,4,3,3,4,3,3,3,3,3
3,402,23.647058823529413,105,0.1425,11,11,9,6,5,5,5,4,3,3,3,2,3,3,2,2,2,2
4,305,21.785714285714285,73,0.09210526315789473,9,9,9,8,7,5,9,8,3,3,3,3,8,3,3,3,3,3
5,421,24.764705882352942,85,0.10978520286396182,14,12,9,8,7,5,12,7,5,3,2,2,7,5,3,3,2,2
6,280,23.333333333333332,45,0.08214285714285714,11,8,7,5,3,3,4,3,2,2,2,2,2,2,2,1,1,1
7,178,19.77777777777778,37,0.08888888888888889,7,6,4,3,3,3,4,3,2,2,2,2,2,2,2,2,1,1
8,386,25.733333333333334,89,0.13989637305699482,11,10,10,9,6,6,9,4,4,3,3,3,3,3,2,2,2,2
9,320,21.333333333333332,68,0.1125,12,5,5,5,5,4,5,4,4,2,2,2,4,4,2,1,1,1
10,351,19.5,88,0.14285714285714285,16,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1
11,267,22.25,45,0.04868913857677903,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,1
12,396,23.294117647058822,121,0.17048346055979643,12,11,11,9,8,6,9,6,3,2,2,2,2,2,2,2,2,2
13,310,22.142857142857142,63,0.08766233766233766,13,12,5,5,5,5,12,5,3,2,2,2,3,2,2,2,2,2
14,312,19.5,66,0.10576923076923077,11,11,8,6,4,4,4,3,3,2,2,2,2,2,2,2,2,2
15,289,18.0625,78,0.15916955017301038,12,7,6,5,5,4,4,4,3,2,2,2,2,2,2,2,2,2
16,200,16.666666666666668,37,0.075,8,8,3,3,3,2,8,3,2,2,2,2,3,2,2,2,2,2
17,295,17.352941176470587,62,0.07796610169491526,8,8,6,5,5,4,8,3,2,2,2,2,2,1,1,1,1,1
18,394,23.176470588235293,89,0.09948979591836735,12,10,9,7,5,5,4,4,2,2,2,2,2,2,2,2,2,2
19,300,18.75,58,0.08,10,9,8,8,7,6,7,7,4,4,4,3,3,3,3,3,3,2
20,332,23.714285714285715,78,0.13636363636363635,14,13,6,5,5,5,13,5,3,3,3,3,3,3,2,2,2,2
21,328,23.428571428571427,77,0.13496932515337423,8,7,7,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2
22,276,21.23076923076923,77,0.16,8,5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1
23,430,21.5,95,0.09501187648456057,11,9,8,8,4,4,4,3,3,3,3,3,3,3,2,2,2,2
24,261,23.727272727272727,61,0.13846153846153847,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1
25,247,20.583333333333332,54,0.09349593495934959,8,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1
26,290,19.333333333333332,46,0.06551724137931035,12,12,8,4,4,4,12,3,3,3,3,2,3,3,2,2,2,2
27,485,23.095238095238095,95,0.10330578512396695,16,13,7,6,5,5,13,6,5,3,3,2,6,5,2,2,2,2
28,455,23.94736842105263,86,0.09230769230769231,13,12,7,7,4,4,9,4,3,3,3,2,4,3,2,2,2,2
29,340,24.285714285714285,58,0.08529411764705883,14,12,7,6,4,3,5,5,2,2,1,1,3,2,1,1,1,1
30,418,22.0,73,0.06235011990407674,14,7,6,6,6,5,6,5,4,4,4,3,5,3,3,3,3,2
31,337,25.923076923076923,88,0.16766467065868262,9,9,8,7,5,5,6,4,3,3,3,2,4,3,3,2,2,2
32,343,24.5,63,0.05539358600583091,9,7,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,2
33,406,20.3,106,0.1318407960199005,18,13,8,6,6,5,8,5,5,4,4,3,5,5,4,2,2,2
34,283,23.583333333333332,69,0.10283687943262411,11,10,10,8,8,7,8,6,6,5,3,3,6,6,4,3,3,2
35,361,24.066666666666666,99,0.15492957746478872,12,10,7,5,5,5,5,5,5,4,3,2,5,4,2,2,2,2
36,357,23.8,58,0.0700280112044818,13,8,7,7,6,5,7,7,5,5,3,2,7,5,3,2,2,2
37,326,23.285714285714285,86,0.16358024691358025,10,10,9,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2
38,510,26.842105263157894,77,0.07058823529411765,13,11,11,9,9,8,8,7,5,5,4,4,4,3,3,3,3,2
39,272,20.923076923076923,41,0.058823529411764705,20,10,7,7,5,5,9,7,5,4,3,3,5,2,2,2,2,2
40,350,26.923076923076923,64,0.10285714285714286,9,9,9,6,6,5,7,5,3,3,2,2,3,2,2,2,2,2
41,420,23.333333333333332,98,0.12171837708830549,12,9,8,7,5,5,3,2,2,2,2,2,2,2,2,2,2,1
42,341,17.94736842105263,87,0.09411764705882353,9,6,5,4,4,4,5,3,3,3,2,2,3,3,3,2,2,2
43,329,19.352941176470587,89,0.14984709480122324,10,9,8,5,5,5,7,7,5,4,2,2,5,5,2,2,2,2
44,376,22.11764705882353,97,0.14361702127659576,10,7,7,6,5,5,5,3,3,3,3,3,3,3,2,2,2,2
45,394,24.625,84,0.1319796954314721,16,12,9,9,6,6,6,5,4,4,4,3,4,3,3,3,3,3
46,348,24.857142857142858,52,0.06340057636887608,8,7,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2
47,338,21.125,53,0.0621301775147929,11,11,9,7,6,5,6,5,4,4,3,3,4,3,2,2,2,2
48,357,19.833333333333332,83,0.1092436974789916,13,13,13,6,6,6,13,13,4,3,3,3,13,4,3,3,2,2
49,337,21.0625,69,0.1044776119402985,11,9,7,7,6,4,5,4,3,3,3,2,2,2,2,2,2,2
50,325,23.214285714285715,63,0.08923076923076922,9,7,5,5,5,4,5,3,3,3,2,2,3,2,2,2,2,2
51,298,21.285714285714285,83,0.1310344827586207,10,7,5,4,3,3,6,3,2,2,2,2,2,2,2,2,1,1
52,403,28.785714285714285,74,0.09429280397022333,13,12,7,7,5,5,8,5,4,4,4,3,5,4,4,3,3,3
53,359,23.933333333333334,84,0.11484593837535013,10,6,6,5,5,5,4,3,3,3,2,2,2,2,2,2,1,1
54,259,19.923076923076923,70,0.1484375,10,7,7,6,5,4,6,5,4,3,2,2,4,3,2,2,2,1
55,305,23.46153846153846,60,0.07260726072607261,13,9,5,4,3,3,4,3,3,3,2,2,3,2,2,2,2,2
56,376,25.066666666666666,71,0.09090909090909091,12,8,8,6,5,5,8,3,3,3,3,3,3,3,3,3,3,2
57,252,21.0,58,0.11952191235059761,6,6,5,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1
58,348,18.31578947368421,91,0.125,9,5,5,4,4,3,5,4,2,2,2,2,2,2,2,2,2,2
59,276,21.23076923076923,58,0.11313868613138686,11,7,4,4,3,3,7,4,3,3,3,2,3,3,3,2,2,1
60,288,22.153846153846153,74,0.12014134275618374,6,5,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1
61,284,23.666666666666668,55,0.10320284697508897,5,5,4,4,4,3,4,3,2,2,2,2,3,2,2,2,1,1
62,320,20.0,83,0.14603174603174604,10,7,5,5,4,3,3,2,2,2,2,2,2,2,2,2,1,1
63,314,24.153846153846153,77,0.13870967741935483,9,8,6,6,3,3,3,3,3,3,3,2,3,2,2,2,2,2
64,330,23.571428571428573,50,0.05454545454545454,7,6,5,5,4,3,3,3,3,2,2,2,3,2,2,2,2,2
65,318,22.714285714285715,73,0.11428571428571428,10,8,7,5,4,4,4,4,3,2,2,2,2,2,2,2,2,2
66,336,18.666666666666668,68,0.07530120481927711,15,7,7,6,5,4,7,6,5,4,2,2,6,5,2,1,1,1
67,359,27.615384615384617,78,0.10335195530726257,14,12,8,8,6,5,8,6,4,3,3,3,3,3,2,2,2,1
68,273,24.818181818181817,70,0.12087912087912088,15,11,8,7,7,5,11,7,4,4,3,2,7,4,4,2,2,2
69,304,20.266666666666666,66,0.10927152317880795,8,6,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2
70,326,20.375,71,0.11419753086419752,12,11,11,3,3,3,11,2,2,2,2,2,2,2,2,2,2,2
71,307,25.583333333333332,63,0.11726384364820847,11,11,9,5,4,4,11,4,3,3,3,3,4,3,3,3,3,2
72,283,25.727272727272727,86,0.20567375886524822,6,3,3,3,3,3,3,3,3,2,1,1,3,1,1,1,1,1
73,306,30.6,77,0.13013698630136986,13,10,8,8,8,5,8,8,8,5,3,3,8,8,3,3,3,3
74,329,23.5,92,0.1524390243902439,11,7,7,6,4,4,6,2,2,2,2,2,2,2,1,1,1,1
75,314,20.933333333333334,80,0.14423076923076922,9,7,5,4,4,4,5,3,2,2,2,2,3,2,1,1,1,1
76,258,21.5,47,0.08527131782945736,7,6,6,6,5,3,5,2,2,2,2,2,2,2,2,2,1,1
77,290,29.0,59,0.1314878892733564,11,6,5,4,4,3,3,3,2,2,2,2,3,2,2,2,2,2
78,299,23.0,63,0.11784511784511785,8,7,7,7,6,4,7,5,3,2,2,2,5,2,2,2,2,2
79,384,24.0,118,0.19109947643979058,13,13,8,8,6,6,12,7,3,3,3,3,7,3,3,3,3,3
80,306,25.5,51,0.07894736842105263,10,6,5,5,5,4,4,3,3,2,2,2,3,2,2,2,2,2
81,377,29.0,66,0.10344827586206896,11,9,8,8,8,7,8,4,4,4,3,3,4,3,3,3,3,3
82,324,24.923076923076923,73,0.13043478260869565,7,7,6,4,4,3,4,4,3,2,2,2,3,2,2,2,2,2
83,516,24.571428571428573,112,0.1245136186770428,21,15,12,12,10,8,7,7,7,7,7,7,7,7,7,6,5,4
84,350,25.0,93,0.13793103448275862,11,9,8,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2
85,390,24.375,106,0.17435897435897435,13,10,8,8,6,6,5,5,4,4,3,3,3,2,2,2,2,2
86,287,22.076923076923077,63,0.12195121951219512,10,7,6,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1
87,238,26.444444444444443,54,0.1072961373390558,6,6,4,3,3,3,6,2,2,2,2,2,2,2,2,1,1,1
88,356,29.666666666666668,67,0.09550561797752809,10,9,9,5,5,5,5,3,3,3,3,2,3,3,2,2,2,2
89,310,19.375,97,0.1895424836601307,9,8,6,5,3,3,3,3,2,2,2,2,3,2,1,1,1,1
90,277,23.083333333333332,56,0.10218978102189781,6,6,4,4,4,3,4,3,2,2,2,1,2,2,1,1,1,1
91,317,24.384615384615383,63,0.0914826498422713,8,8,7,7,7,5,7,7,6,3,3,3,7,6,3,3,3,3
92,255,19.615384615384617,55,0.0992063492063492,6,6,6,5,3,3,6,3,2,2,2,2,2,2,2,2,2,2
93,344,34.4,72,0.14534883720930233,8,6,5,5,5,5,4,3,3,3,3,2,3,2,2,2,2,2
94,345,26.53846153846154,71,0.09302325581395349,14,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,1,1
95,322,18.941176470588236,67,0.09316770186335403,12,10,9,5,5,5,5,4,3,3,2,2,2,2,2,2,2,2
96,277,17.3125,57,0.09352517985611511,7,7,6,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2
97,302,23.23076923076923,77,0.14715719063545152,6,5,4,4,4,4,3,3,2,2,2,2,3,2,2,2,2,2
98,318,22.714285714285715,62,0.07348242811501597,6,6,5,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1
99,447,23.526315789473685,111,0.12612612612612611,10,9,8,7,6,6,5,4,4,3,3,3,4,3,3,2,2,2
100,355,22.1875,82,0.1359773371104816,11,8,6,6,5,5,7,5,4,4,4,3,4,4,2,2,2,2
