Id,Label,Total characters,Digit percentage,Letter percentage,Uppercase percentage,Total number of sentences,Char frequency - a_x,Char frequency - b_x,Char frequency - c_x,Char frequency - d_x,Char frequency - e_x,Char frequency - f_x,Char frequency - g_x,Char frequency - h_x,Char frequency - i_x,Char frequency - j_x,Char frequency - k_x,Char frequency - l_x,Char frequency - m_x,Char frequency - n_x,Char frequency - o_x,Char frequency - p_x,Char frequency - q_x,Char frequency - r_x,Char frequency - s_x,Char frequency - t_x,Char frequency - u_x,Char frequency - v_x,Char frequency - w_x,Char frequency - x_x,Char frequency - y_x,Char frequency - z_x,Common char bigram 1,Common char bigram 2,Common char bigram 3,Common char bigram 4,Common char bigram 5,Common char bigram 6,Common char bigram 7,Common char bigram 8,Common char bigram 9,Common char bigram 10,Common char bigram 11,Common char bigram 12,Common char bigram 13,Common char bigram 14,Common char bigram 15,Common char bigram 16,Common char bigram 17,Common char bigram 18,Common char bigram 19,Common char bigram 20,Common char bigram 21,Common char bigram 22,Common char bigram 23,Common char bigram 24,Common char bigram 25,Common char bigram 26,Common char bigram 27,Common char bigram 28,Common char bigram 29,Common char bigram 30,Common char bigram 31,Common char bigram 32,Common char bigram 33,Common char bigram 34,Common char bigram 35,Common char bigram 36,Common char bigram 37,Common char bigram 38,Common char bigram 39,Common char bigram 40,Common char trigram 1,Common char trigram 2,Common char trigram 3,Common char trigram 4,Common char trigram 5,Common char trigram 6,Common char trigram 7,Common char trigram 8,Common char trigram 9,Common char trigram 10,Common char trigram 11,Common char trigram 12,Common char trigram 13,Common char trigram 14,Common char trigram 15,Common char trigram 16,Common char trigram 17,Common char trigram 18,Common char trigram 19,Common char trigram 20,Common char trigram 21,Common char trigram 22,Common char trigram 23,Common char trigram 24,Common char trigram 25,Common char trigram 26,Common char trigram 27,Common char trigram 28,Common char trigram 29,Common char trigram 30,Common char trigram 31,Common char trigram 32,Common char trigram 33,Common char trigram 34,Common char trigram 35,Common char trigram 36,Common char trigram 37,Common char trigram 38,Common char trigram 39,Common char trigram 40,Digit frequency - 0,Digit frequency - 1,Digit frequency - 2,Digit frequency - 3,Digit frequency - 4,Digit frequency - 5,Digit frequency - 6,Digit frequency - 7,Digit frequency - 8,Digit frequency - 9,Char frequency - a_y,Char frequency - b_y,Char frequency - c_y,Char frequency - d_y,Char frequency - e_y,Char frequency - f_y,Char frequency - g_y,Char frequency - h_y,Char frequency - i_y,Char frequency - j_y,Char frequency - k_y,Char frequency - l_y,Char frequency - m_y,Char frequency - n_y,Char frequency - o_y,Char frequency - p_y,Char frequency - q_y,Char frequency - r_y,Char frequency - s_y,Char frequency - t_y,Char frequency - u_y,Char frequency - v_y,Char frequency - w_y,Char frequency - x_y,Char frequency - y_y,Char frequency - z_y,Total words,Average words per sentence,Average POS types per sentence,POS to unique words ratio,Total stopwords,Average stopwords per sentence,Most frequent POS unigrams 1,Most frequent POS unigrams 2,Most frequent POS unigrams 3,Most frequent POS unigrams 4,Most frequent POS unigrams 5,Most frequent POS unigrams 6,Most frequent POS unigrams 7,Most frequent POS unigrams 8,Most frequent POS unigrams 9,Most frequent POS unigrams 10,Most frequent POS unigrams 11,Most frequent POS unigrams 12,Most frequent POS unigrams 13,Most frequent POS unigrams 14,Most frequent POS unigrams 15,Most frequent POS unigrams 16,Most frequent POS unigrams 17,Most frequent POS unigrams 18,Most frequent POS unigrams 19,Most frequent POS unigrams 20,Most frequent POS unigrams 21,Most frequent POS unigrams 22,Most frequent POS unigrams 23,Most frequent POS unigrams 24,Most frequent POS unigrams 25,Most frequent POS unigrams 26,Most frequent POS unigrams 27,Most frequent POS unigrams 28,Most frequent POS unigrams 29,Most frequent POS unigrams 30,Most frequent POS unigrams 31,Most frequent POS unigrams 32,Most frequent POS bigrams 1,Most frequent POS bigrams 2,Most frequent POS bigrams 3,Most frequent POS bigrams 4,Most frequent POS bigrams 5,Most frequent POS bigrams 6,Most frequent POS bigrams 7,Most frequent POS bigrams 8,Most frequent POS bigrams 9,Most frequent POS bigrams 10,Most frequent POS bigrams 11,Most frequent POS bigrams 12,Most frequent POS bigrams 13,Most frequent POS bigrams 14,Most frequent POS bigrams 15,Most frequent POS bigrams 16,Most frequent POS trigrams 1,Most frequent POS trigrams 2,Most frequent POS trigrams 3,Most frequent POS trigrams 4,Most frequent POS trigrams 5,Most frequent POS trigrams 6,Most frequent POS trigrams 7,Most frequent POS trigrams 8,Total sentences,Average sentence length
1,Chatgpt,1705,0.0,0.8234604105571848,0.007038123167155425,10,85,23,46,55,174,19,30,77,119,1,12,65,30,98,130,28,0,80,89,125,51,26,21,0,19,1,65,53,48,40,39,34,31,27,26,24,24,24,22,22,21,20,20,19,19,19,18,18,17,17,17,16,16,16,16,16,15,14,14,14,14,14,13,12,12,12,43,33,19,18,18,18,17,15,14,13,12,11,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,85,23,46,55,174,19,30,77,119,1,12,65,30,98,130,28,0,80,89,125,51,26,21,0,19,1,277,27.7,27.7,2.0984848484848486,133,13.3,36,35,34,32,26,18,16,13,11,11,11,10,7,6,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13,12,11,11,10,10,8,8,8,8,8,6,5,5,5,5,6,5,5,5,5,4,4,4,10,169.6
10,Chatgpt,2200,0.0,0.8236363636363636,0.008181818181818182,18,157,20,67,69,221,57,25,73,122,1,5,54,38,139,162,48,3,140,139,162,44,31,15,3,17,0,62,57,47,46,46,44,44,40,38,37,37,31,31,29,28,27,27,26,26,26,24,24,23,23,23,22,22,21,21,20,20,19,19,18,18,17,16,16,16,16,34,32,26,26,26,24,23,22,20,19,18,17,16,16,15,14,14,14,13,13,13,12,12,11,11,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,157,20,67,69,221,57,25,73,122,1,5,54,38,139,162,48,3,140,139,162,44,31,15,3,17,0,351,19.5,19.555555555555557,2.2278481012658227,162,9.0,60,47,43,39,26,23,21,17,11,10,9,8,7,7,7,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,24,18,15,14,12,11,10,10,9,8,7,7,7,6,6,6,11,8,7,7,6,5,5,5,18,121.27777777777777
100,Chatgpt,2065,0.0014527845036319612,0.8111380145278451,0.02711864406779661,16,125,34,50,66,201,46,19,62,132,0,11,56,45,118,137,23,1,101,117,197,57,12,23,5,35,2,66,55,49,44,42,40,39,35,35,33,33,33,31,30,29,27,27,26,26,24,23,22,22,22,21,20,20,20,19,19,18,17,17,17,16,16,15,15,15,15,38,30,29,22,22,20,19,19,16,16,15,14,14,14,13,13,13,13,13,13,13,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,2,0,0,1,0,0,0,0,0,0,125,34,50,66,201,46,19,62,132,0,11,56,45,118,137,23,1,101,117,197,57,12,23,5,35,2,355,22.1875,22.25,2.6176470588235294,174,10.875,81,50,48,28,23,18,14,13,12,11,11,10,7,6,6,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,27,21,18,18,15,14,10,10,9,9,9,8,8,7,6,6,15,14,10,7,6,5,5,5,16,128.125
101,Chatgpt,1474,0.0,0.8208955223880597,0.0067842605156037995,10,99,11,40,48,129,17,25,61,91,0,3,39,37,102,117,19,1,80,74,104,36,23,25,1,28,0,43,38,30,25,25,24,23,23,21,20,20,20,19,19,18,17,17,17,16,16,15,15,15,15,14,14,14,14,14,14,13,13,13,13,12,12,12,12,12,12,17,15,14,13,13,13,13,13,12,12,12,11,11,10,10,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,99,11,40,48,129,17,25,61,91,0,3,39,37,102,117,19,1,80,74,104,36,23,25,1,28,0,244,24.4,24.5,2.024793388429752,125,12.5,44,26,22,20,19,19,16,14,10,9,9,8,7,6,4,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,18,9,9,8,7,7,7,6,6,6,5,5,5,4,4,4,5,4,4,4,4,4,4,4,10,146.5
102,Chatgpt,2200,0.0,0.8309090909090909,0.007727272727272728,17,150,31,106,66,216,31,34,55,159,2,4,57,51,180,140,40,1,106,114,164,48,31,12,2,27,1,56,55,54,50,49,39,39,33,32,32,31,28,28,27,27,26,26,26,24,24,23,22,21,21,21,20,20,20,20,20,19,19,18,18,18,18,18,17,17,17,31,30,29,28,18,16,16,15,15,15,14,13,13,12,12,12,12,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,0,0,0,0,0,0,0,0,0,0,150,31,106,66,216,31,34,55,159,2,4,57,51,180,140,40,1,106,114,164,48,31,12,2,27,1,329,19.352941176470587,19.352941176470587,2.316901408450704,142,8.352941176470589,78,46,38,33,29,23,23,14,12,9,5,4,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,17,13,13,13,12,12,11,9,9,8,8,8,7,7,8,8,7,6,6,6,5,5,17,128.47058823529412
103,Chatgpt,1593,0.0,0.8116760828625236,0.011927181418706842,14,120,17,58,48,161,27,30,73,106,0,9,43,37,107,72,26,1,85,82,90,36,11,23,2,28,1,47,39,39,37,36,35,34,31,28,28,24,23,23,22,21,20,20,20,19,19,18,18,17,17,16,16,16,16,15,15,14,14,14,14,14,13,13,13,12,12,25,22,21,20,17,15,14,14,13,13,12,12,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,120,17,58,48,161,27,30,73,106,0,9,43,37,107,72,26,1,85,82,90,36,11,23,2,28,1,272,19.428571428571427,19.5,2.1496062992125986,139,9.928571428571429,44,41,24,21,18,18,15,13,11,11,10,10,10,6,5,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,14,14,9,9,8,7,6,6,6,5,5,5,5,5,5,5,10,5,5,5,4,4,4,4,14,112.85714285714286
104,Chatgpt,2000,0.0,0.8305,0.0085,15,151,34,67,66,221,41,27,76,105,1,17,69,27,124,116,28,3,84,117,167,56,25,17,2,20,0,67,65,45,43,43,35,31,29,27,27,27,26,25,25,23,22,22,22,22,22,22,21,21,21,20,19,19,17,17,17,17,16,16,16,16,16,16,15,15,15,38,35,22,19,17,17,16,15,15,15,15,14,14,13,13,12,12,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,151,34,67,66,221,41,27,76,105,1,17,69,27,124,116,28,3,84,117,167,56,25,17,2,20,0,312,20.8,20.866666666666667,2.129251700680272,140,9.333333333333334,46,43,41,34,32,24,14,13,11,11,10,8,6,5,4,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,16,15,13,12,11,11,10,10,10,9,8,8,7,6,6,6,7,6,6,6,6,5,5,5,15,132.4
105,Chatgpt,1756,0.0,0.8200455580865603,0.010250569476082005,14,128,16,62,55,175,27,28,58,128,1,8,62,35,116,100,27,1,70,106,129,31,25,25,4,23,0,42,40,38,37,37,36,34,33,32,30,28,27,24,24,23,23,20,19,18,17,17,17,17,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,23,18,16,15,15,14,14,13,12,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,0,0,0,0,0,0,0,0,0,0,128,16,62,55,175,27,28,58,128,1,8,62,35,116,100,27,1,70,106,129,31,25,25,4,23,0,287,20.5,20.571428571428573,2.267716535433071,140,10.0,45,35,25,25,22,22,16,14,13,10,9,8,8,8,6,6,5,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,14,10,10,9,8,7,6,6,6,6,6,5,5,5,5,5,6,5,5,4,4,4,4,4,14,124.5
106,Chatgpt,1900,0.0,0.8173684210526316,0.006842105263157895,13,113,27,62,44,166,35,17,71,131,2,9,51,37,106,134,33,0,93,118,170,44,21,26,2,41,0,52,51,50,48,43,33,31,31,31,29,28,26,25,23,23,23,23,22,21,21,21,20,20,20,19,19,18,18,17,16,16,16,16,15,15,15,15,15,15,14,33,28,18,17,17,17,16,16,15,14,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,9,0,0,0,0,0,0,0,0,0,0,113,27,62,44,166,35,17,71,131,2,9,51,37,106,134,33,0,93,118,170,44,21,26,2,41,0,313,24.076923076923077,24.076923076923077,2.2846715328467155,155,11.923076923076923,48,46,43,34,24,16,15,13,13,9,9,8,7,6,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,19,17,15,13,11,10,10,9,7,7,7,6,6,6,5,5,8,7,6,6,5,5,5,4,13,145.23076923076923
107,Chatgpt,2393,0.0,0.8240702047638947,0.00919348098620978,18,160,18,63,72,227,39,42,80,185,1,6,64,50,192,141,48,2,105,108,183,62,52,28,4,39,1,74,68,56,50,50,48,44,40,39,38,37,37,37,34,33,31,31,30,29,28,27,27,27,26,25,25,25,24,24,24,24,23,21,21,20,20,19,19,18,18,37,36,27,25,25,25,25,24,22,20,20,20,19,18,18,18,17,17,17,16,15,15,15,14,14,14,13,13,13,13,13,13,13,12,12,12,11,11,11,11,0,0,0,0,0,0,0,0,0,0,160,18,63,72,227,39,42,80,185,1,6,64,50,192,141,48,2,105,108,183,62,52,28,4,39,1,390,21.666666666666668,21.72222222222222,2.6066666666666665,195,10.833333333333334,83,55,41,33,28,27,23,18,13,11,10,9,7,6,5,5,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,31,28,26,13,13,12,11,10,10,9,8,7,7,6,5,5,20,14,12,6,6,5,4,4,18,132.0
